State,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Arson
Vernon,113,35,0,0,20,15,424,60,229,135,5
Victorville,123284,862,14,54,267,527,3318,830,1839,649,42
Villa Park,5933,2,0,0,0,2,74,35,35,4,1
Visalia,132143,457,9,81,144,223,4396,839,2953,604,16
Vista,103004,370,4,38,104,224,1494,310,889,295,9
Walnut,30189,43,0,12,8,23,485,232,221,32,2
Walnut Creek,69953,105,1,2,39,63,2304,243,1871,190,2
Waterford,8928,16,0,1,2,13,120,26,55,39,0
Watsonville,54226,298,1,41,69,187,1711,251,995,465,14
Weed,2605,23,0,0,0,23,95,23,62,10,0
West Covina,108128,275,0,31,144,100,2733,502,1821,410,10
West Hollywood,37093,254,1,29,122,102,1705,234,1367,104,2
Westlake Village,8476,14,0,1,4,9,208,48,155,5,0
Westminster,91863,281,4,23,132,122,2825,443,1987,395,14
Westmorland,2276,5,0,0,0,5,21,9,10,2,0
West Sacramento,53703,199,7,19,79,94,1138,201,756,181,21
Wheatland,3831,6,0,0,2,4,37,10,22,5,1
Whittier,87141,300,5,15,137,143,2507,420,1774,313,6
Wildomar,36683,56,0,2,15,39,683,128,430,125,1
Williams,5201,11,0,3,5,3,75,34,32,9,2
Willits,4870,57,0,4,5,48,61,11,25,25,0
Windsor,27679,61,0,15,6,40,279,40,219,20,2
Winters,7235,14,0,0,1,13,131,26,93,12,2
Woodlake,7678,27,1,1,2,23,122,20,86,16,4
Woodland,59676,187,0,21,38,128,1861,326,1306,229,35
Yorba Linda,68889,45,0,9,5,31,714,185,482,47,5
Yountville,3020,1,0,0,0,1,42,7,33,2,0
Yreka,7564,51,1,5,2,43,213,57,113,43,1
Yuba City,67042,255,0,23,82,150,2207,380,1448,379,15
Yucaipa,53614,74,0,12,23,39,927,202,590,135,5
